,lat,lng,ciudad
0,19.7944045,-102.887161249379,Quitupan
1,25.802776,-100.3930109,Gral. Treviño
2,26.92450565,-107.667331578553,Batopilas
3,20.421966,-103.5916753,ácatlán de Juárez
4,19.9608742,-100.204934491189,Contepec
5,19.07915515,-102.849997667583,Tepalcatepec
6,20.3203431,-104.281026143063,Atengo
7,21.08602565,-89.7799734076693,Ucú
8,19.7004662,-101.158923,Peribán
9,19.92195995,-89.0086957854902,Tzucacab
10,20.50470375,-98.3557886884289,Zacualpan
11,25.6651051,-100.4022714,San Pedro Garza García
12,19.9879055,-101.113636130792,Cuitzeo
13,19.16096315,-98.1294455844424,San Pablo del Monte
14,19.14157615,-96.664246891316,Comapa
15,20.1194479,-101.54067288572,PuruAndiro
16,25.94092355,-99.4338854618893,Los Herreras
17,20.78449255,-88.83209945909,Sudzal
18,21.2127744,-88.6461859243543,Buctzotz
19,20.5347004,-104.064660985937,Ameca
20,21.2891932,-89.0362854842481,Dzidzantún
21,20.21212935,-99.8130000085631,PolotitlAn
22,20.98359715,-89.2431554277343,Cacalchén
23,19.4323473,-99.9603180987687,Villa Victoria
24,20.02834465,-97.8546373199356,Ahuacatlán
25,19.5997278,-96.9848433795754,Rafael Lucio
26,19.37093275,-99.3568074324691,Huixquilucan
27,19.8018134,-97.4419200418563,Atempan
28,19.65709395,-98.7401549398243,Otumba
29,17.7620967,-93.6634408051158,Huimanguillo
30,21.1085459,-89.1605185802348,Suma
31,19.3186707,-99.3232413980309,Cuajimalpa de Morelos
32,18.5503968,-97.4477267440186,Santiago Miahuatlán
33,19.27547005,-99.2633385835894,La Magdalena Contreras
34,18.9410598,-99.9403715716659,Texcaltitlán
35,19.1849101,-100.15126325881,Valle de Bravo
36,18.9500577,-99.4973479,Malinalco
37,20.0272192,-97.4938535277312,Cuetzalan del Progreso
38,20.17831275,-102.011458020735,Zináparo
39,20.24410965,-99.519461035348,Chapantongo
40,19.42966465,-99.1986750379349,Miguel Hidalgo
41,19.31815315,-99.2778365837947,Alvaro Obregón
42,27.32279865,-100.066318409888,AnAhuac
43,26.470747,-100.370706373256,Villaldama
44,26.2993869,-100.802504587014,Mina
45,18.15840185,-96.8824652731001,Santa Cruz Acatepec
46,20.1847705,-100.543401490537,Jerécuaro
47,17.45316095,-91.812123071797,Palenque
48,20.05222825,-99.5157106636946,Soyaniquilpan de Juárez
49,21.202894,-89.270697,Telchac Pueblo
50,18.941407,-99.6825331767149,Villa Guerrero
51,18.85765725,-96.350999057041,Cotaxtla
52,19.2622941,-100.2639356,Ixtapan del Oro
53,19.4785796,-99.2328791,Naucalpan de Juárez
54,18.9914959,-99.1025453272487,Tepoztlán
55,19.5445588,-103.973445499963,Tolimán
56,19.5916325,-99.6311743185167,Jiquipilco
57,19.5450812,-98.8948341130416,Chiconcuac
58,20.285278,-98.668611,Atotonilco el Grande
59,20.6964972,-97.3455988,Cazones de Herrera
60,20.6396569,-103.051518558468,Zapotlanejo
61,20.07084755,-100.744744458188,ácámbaro
62,20.47223855,-102.364129287815,áyotlán
63,18.96465915,-99.5689820946806,Tenancingo
64,20.1527883,-97.5601342,Colón
65,20.202978,-89.2881244,Tekax
66,20.6806057,-103.832786735162,Teuchitlán
67,16.9675629,-96.318246627325,San Pablo Villa de Mitla
68,21.25172185,-89.3269488190973,Dzemul
69,20.71035375,-103.975394384736,Ahualulco de Mercado
70,19.12975965,-90.452254448321,Champotón
71,21.07563405,-89.9893948556948,Hunucmá
72,21.22940345,-89.4766584313347,Ixil
73,19.2884203,-99.1670508,Tlalpan
74,21.5981156,-88.1572956,Río Lagartos
75,19.8213915,-98.1177571460357,Chignahuapan
76,19.7944045,-102.887161249379,Quitupan
77,25.802776,-100.3930109,Gral. Treviño
78,26.92450565,-107.667331578553,Batopilas
79,20.421966,-103.5916753,ácatlán de Juárez
